date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
15:17:19	227907/227907	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Dec%202022%2013:17:18%20GMT	https://www.feel-digital.co.uk/insights	C:/Users/Programmer/Desktop/WebSite/www.feel-digital.co.uk/insights.html	(from https://www.feel-digital.co.uk/)
15:17:19	231854/231854	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Dec%202022%2013:17:18%20GMT	https://www.feel-digital.co.uk/contact	C:/Users/Programmer/Desktop/WebSite/www.feel-digital.co.uk/contact.html	(from https://www.feel-digital.co.uk/)
15:17:20	236278/236278	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Dec%202022%2013:17:18%20GMT	https://www.feel-digital.co.uk/what-we-do	C:/Users/Programmer/Desktop/WebSite/www.feel-digital.co.uk/what-we-do.html	(from https://www.feel-digital.co.uk/)
15:17:20	248945/248945	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Dec%202022%2013:17:19%20GMT	https://www.feel-digital.co.uk/organic-search	C:/Users/Programmer/Desktop/WebSite/www.feel-digital.co.uk/organic-search.html	(from https://www.feel-digital.co.uk/)
15:17:21	150597/150597	---M-Z	200	added ('OK')	text/html	date:Thu,%2029%20Dec%202022%2013:17:19%20GMT	https://www.feel-digital.co.uk/paid-search	C:/Users/Programmer/Desktop/WebSite/www.feel-digital.co.uk/paid-search.html	(from https://www.feel-digital.co.uk/)
15:17:21	253184/253184	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Dec%202022%2013:17:20%20GMT	https://www.feel-digital.co.uk/social-media	C:/Users/Programmer/Desktop/WebSite/www.feel-digital.co.uk/social-media.html	(from https://www.feel-digital.co.uk/)
15:17:21	241728/241728	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Dec%202022%2013:17:20%20GMT	https://www.feel-digital.co.uk/content-marketing	C:/Users/Programmer/Desktop/WebSite/www.feel-digital.co.uk/content-marketing.html	(from https://www.feel-digital.co.uk/)
15:17:22	253634/253634	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Dec%202022%2013:17:20%20GMT	https://www.feel-digital.co.uk/design-development	C:/Users/Programmer/Desktop/WebSite/www.feel-digital.co.uk/design-development.html	(from https://www.feel-digital.co.uk/)
15:17:22	249631/249631	---MCZ	200	added ('OK')	text/html	date:Thu,%2029%20Dec%202022%2013:17:20%20GMT	https://www.feel-digital.co.uk/cro-conversion-rate-optimisation	C:/Users/Programmer/Desktop/WebSite/www.feel-digital.co.uk/cro-conversion-rate-optimisation.html	(from https://www.feel-digital.co.uk/)
15:17:22	9757/9757	---M--	200	added ('OK')	image/jpeg	etag:%22602a6978-261d%22	https://www.feel-digital.co.uk/wp-content/uploads/2020/11/hp-header.jpg	C:/Users/Programmer/Desktop/WebSite/www.feel-digital.co.uk/wp-content/uploads/2020/11/hp-header.jpg	(from https://www.feel-digital.co.uk/)
